Loaded file for Distance with 1 dimensions and 674 records averaging 3114.81
Loaded file for Weight with 1 dimensions and 266 records averaging 199.4
Frames merged
Values sorted
           Date  Weight   Distance
716  2017-10-18     NaN   9061.751
717  2017-10-17     NaN  10593.119
212  2017-10-16   208.0   6948.629
718  2017-10-15     NaN  10128.415
719  2017-10-14     NaN   9169.882
720  2017-10-13     NaN   3578.542
721  2017-10-12     NaN   5470.552
213  2017-10-11   211.7   9632.728
722  2017-10-10     NaN   5634.435
723  2017-10-09     NaN   1858.613
724  2017-10-08     NaN   3453.367
725  2017-10-07     NaN  19982.105
726  2017-10-06     NaN   4204.204
727  2017-10-05     NaN   7559.890
728  2017-10-04     NaN   6494.113
729  2017-10-03     NaN   8152.184
214  2017-10-02   209.6   6090.029
730  2017-10-01     NaN   2797.260
731  2017-09-30     NaN   8223.106
732  2017-09-29     NaN    176.200
733  2017-09-28     NaN   4619.159
734  2017-09-27     NaN   9730.637
735  2017-09-26     NaN   7821.251
215  2017-09-25   209.6  11157.596
736  2017-09-24     NaN   3413.034
737  2017-09-23     NaN   4345.908
738  2017-09-22     NaN    188.899
739  2017-09-21     NaN   9198.706
740  2017-09-20     NaN   7348.863
741  2017-09-19     NaN   9646.306
216  2017-09-18   207.6   7812.244
742  2017-09-17     NaN   2555.881
743  2017-09-16     NaN   1038.947
744  2017-09-15     NaN   2977.441
745  2017-09-14     NaN   6327.625
746  2017-09-13     NaN   7728.748
747  2017-09-12     NaN   5807.991
217  2017-09-11   208.6    473.042
218  2017-09-05   207.8        NaN
219  2017-07-31   204.9        NaN
220  2017-07-24   200.1        NaN
221  2017-07-21   196.3        NaN
222  2017-07-20   195.7        NaN
223  2017-07-19   200.8        NaN
224  2017-07-18   202.7        NaN
225  2017-07-17   201.9        NaN
226  2017-07-14   196.1        NaN
227  2017-07-13   196.1        NaN
228  2017-07-12   197.4        NaN
229  2017-07-11   198.6        NaN
230  2017-07-10   198.8        NaN
231  2017-07-07   202.4        NaN
232  2017-07-06   200.7        NaN
233  2017-07-05   202.4        NaN
234  2017-07-04   202.3        NaN
235  2017-07-03   201.6        NaN
236  2017-06-29   197.0        NaN
237  2017-06-28   199.6        NaN
238  2017-06-27   199.1        NaN
239  2017-06-26   201.7        NaN
240  2017-06-23   200.2        NaN
241  2017-06-22   200.3        NaN
242  2017-06-21   200.5        NaN
243  2017-06-20   200.5        NaN
244  2017-06-19   202.9        NaN
245  2017-06-15   202.8        NaN
246  2017-06-14   202.6        NaN
247  2017-06-13   202.0        NaN
248  2017-06-12   203.2        NaN
249  2017-06-09   202.6        NaN
250  2017-06-08   202.3        NaN
251  2017-06-07   204.7        NaN
252  2017-06-06   203.1        NaN
253  2017-06-05   203.7        NaN
254  2017-06-02   204.4        NaN
255  2017-06-01   206.5        NaN
256  2017-05-31   207.1        NaN
257  2017-05-30   209.1        NaN
258  2017-05-29   207.6        NaN
259  2017-05-28   208.0        NaN
260  2017-05-27   207.4        NaN
261  2017-05-26   206.4        NaN
263  2017-05-25   208.9        NaN
264  2017-05-25   208.8        NaN
262  2017-05-25   208.9        NaN
265  2017-05-25   211.0        NaN
